名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
Infectious Diseases of Poverty,INFECT DIS POVERTY,2095-5162,2049-9957,4.8,5,Q1,,,,,,,,
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,J GERONTOL B-PSYCHOL,1079-5014,1758-5368,4.8,4.7,Q1,,,,,,,,
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,IEEE T NEUR SYS REH,1534-4320,1558-0210,4.8,5.4,Q1,,,,,,,,
AMERICAN JOURNAL OF CHINESE MEDICINE,AM J CHINESE MED,0192-415X,1793-6853,4.8,5,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,INT J INFECT DIS,1201-9712,1878-3511,4.8,5,Q1,,,,,,,,
Rice,RICE,1939-8425,1939-8433,4.8,5.4,Q1,,,,,,,,
EARTH AND PLANETARY SCIENCE LETTERS,EARTH PLANET SC LETT,0012-821X,1385-013X,4.8,5,Q1,,,,,,,,
European Heart Journal-Quality of Care and Clinical Outcomes,EUR HEART J-QUAL CAR,2058-5225,2058-1742,4.8,4.7,Q1,,,,,,,,
CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,0905-7161,1600-0501,4.8,6.5,Q2,,,,,,,,
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,0378-8741,1872-7573,4.8,4.8,Q1,,,,,,,,
OCEAN & COASTAL MANAGEMENT,OCEAN COAST MANAGE,0964-5691,1873-524X,4.8,4.2,Q1,,,,,,,,
Journal of Computational Design and Engineering,J COMPUT DES ENG,N/A,2288-5048,4.8,4.8,Q1,,,,,,,,
CURRENT OPINION IN NEUROBIOLOGY,CURR OPIN NEUROBIOL,0959-4388,1873-6882,4.8,5.7,Q1,,,,,,,,
International Review of Economics & Finance,INT REV ECON FINANC,1059-0560,1873-8036,4.8,4.2,Q1,,,,,,,,
Pacific-Basin Finance Journal,PAC-BASIN FINANC J,0927-538X,1879-0585,4.8,4.4,Q1,,,,,,,,
Natural Resources Research,NAT RESOUR RES,1520-7439,1573-8981,4.8,4.6,Q1,,,,,,,,
MOLECULAR PLANT PATHOLOGY,MOL PLANT PATHOL,1464-6722,1364-3703,4.8,6,Q1,,,,,,,,
Clinical Psychological Science,CLIN PSYCHOL SCI,2167-7026,2167-7034,4.8,6.2,Q1,,,,,,,,
JOURNAL OF NEUROLOGY,J NEUROL,0340-5354,1432-1459,4.8,4.8,Q1,,,,,,,,
Multiple Sclerosis Journal,MULT SCLER J,1352-4585,1477-0970,4.8,4.9,Q1,,,,,,,,
Neurophotonics,NEUROPHOTONICS,2329-423X,2329-4248,4.8,4.3,Q1,,,,,,,,
COMPUTERS & SECURITY,COMPUT SECUR,0167-4048,1872-6208,4.8,5.2,Q1,,,,,,,,
REVIEW OF ACCOUNTING STUDIES,REV ACCOUNT STUD,1380-6653,1573-7136,4.8,6.2,Q1,,,,,,,,
Perspectives on Medical Education,PERSPECT MED EDUC,2212-2761,2212-277X,4.8,4.7,Q1,,,,,,,,
TOXICOLOGY,TOXICOLOGY,0300-483X,1879-3185,4.8,4.4,Q1,,,,,,,,
CNS Neuroscience & Therapeutics,CNS NEUROSCI THER,1755-5930,1755-5949,4.8,5.9,Q1,,,,,,,,
AUTOMATICA,AUTOMATICA,0005-1098,1873-2836,4.8,6,Q1,,,,,,,,
International Immunopharmacology,INT IMMUNOPHARMACOL,1567-5769,1878-1705,4.8,5,Q1,,,,,,,,
Journal of Hospitality and Tourism Insights,J HOSP TOUR INSIGHTS,2514-9792,2514-9806,4.8,4.4,Q1,,,,,,,,
ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,0340-5761,1432-0738,4.8,5.3,Q1,,,,,,,,
Journal of Agriculture and Food Research,J AGR FOOD RES,2666-1543,2666-1543,4.8,4.9,Q1,,,,,,,,
JMIR Mental Health,JMIR MENT HEALTH,2368-7959,2368-7959,4.8,5.1,Q1,,,,,,,,
APPLIED SOIL ECOLOGY,APPL SOIL ECOL,0929-1393,1873-0272,4.8,4.9,Q1,,,,,,,,
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,1567-5394,1878-562X,4.8,4.5,Q2,,,,,,,,
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1523-4614,1526-5498,4.8,6.7,Q1,,,,,,,,
JOURNAL OF CLIMATE,J CLIMATE,0894-8755,1520-0442,4.8,5.3,Q1,,,,,,,,
MATERIALS CHARACTERIZATION,MATER CHARACT,1044-5803,1873-4189,4.8,4.8,Q1,,,,,,,,
Matter and Radiation at Extremes,MATTER RADIAT EXTREM,2468-2047,2468-080X,4.8,4.6,Q1,,,,,,,,
Clinical Epigenetics,CLIN EPIGENETICS,1868-7075,1868-7083,4.8,5.8,Q1,,,,,,,,
Social and Personality Psychology Compass,SOC PERSONAL PSYCHOL,N/A,1751-9004,4.8,5.4,Q1,,,,,,,,
Antimicrobial Resistance and Infection Control,ANTIMICROB RESIST IN,2047-2994,2047-2994,4.8,5.8,Q1,,,,,,,,
ASTROPHYSICAL JOURNAL,ASTROPHYS J,0004-637X,1538-4357,4.8,4.9,Q1,,,,,,,,
CANCER GENE THERAPY,CANCER GENE THER,0929-1903,1476-5500,4.8,4.9,Q1,,,,,,,,
CONTACT DERMATITIS,CONTACT DERMATITIS,0105-1873,1600-0536,4.8,4.6,Q1,,,,,,,,
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,J NUTR BIOCHEM,0955-2863,1873-4847,4.8,5.4,Q1,,,,,,,,
Food Bioscience,FOOD BIOSCI,2212-4292,2212-4306,4.8,5.1,Q1,,,,,,,,
HYDROMETALLURGY,HYDROMETALLURGY,0304-386X,1879-1158,4.8,4.8,Q1,,,,,,,,
Automotive Innovation,AUTOMOTIVE INNOV,2096-4250,2522-8765,4.8,3.8,Q1,,,,,,,,
Climate Risk Management,CLIM RISK MANAG,2212-0963,2212-0963,4.8,5.1,Q1,,,,,,,,
Journal of Pipeline Science and Engineering,J PIPELINE SCI ENG,N/A,2667-1433,4.8,4.8,Q1,,,,,,,,
Microbial Biotechnology,MICROB BIOTECHNOL,1751-7915,1751-7915,4.8,5.8,Q1,,,,,,,,
Sustainable Energy Grids & Networks,SUSTAIN ENERGY GRIDS,2352-4677,2352-4677,4.8,4.6,Q1,,,,,,,,
ACS ES&T Water,ACS EST WATER,N/A,2690-0637,4.8,4.8,Q1,,,,,,,,
Nutrients,NUTRIENTS,N/A,2072-6643,4.8,5.8,Q1,,,,,,,,
ONCOLOGIST,ONCOLOGIST,1083-7159,1549-490X,4.8,5.3,Q1,,,,,,,,
Current Research in Microbial Sciences,CURR RES MICROB SCI,2666-5174,2666-5174,4.8,4.8,Q1,,,,,,,,
Journal of Physical Chemistry Letters,J PHYS CHEM LETT,1948-7185,N/A,4.8,5.3,Q1,,,,,,,,
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,1557-7325,4.8,6,Q1,,,,,,,,
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,ENDOCRIN METAB CLIN,0889-8529,1558-4410,4.8,5.3,Q1,,,,,,,,
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1059-1478,1937-5956,4.8,6,Q1,,,,,,,,
Environmental Epigenetics,ENVIRON EPIGENETICS,2058-5888,2058-5888,4.8,4.3,Q1,,,,,,,,
CLIMATIC CHANGE,CLIMATIC CHANGE,0165-0009,1573-1480,4.8,5.4,Q1,,,,,,,,
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,1568-4539,1573-2908,4.8,4.7,Q1,,,,,,,,
JOURNAL OF MOLECULAR MEDICINE-JMM,J MOL MED,0946-2716,1432-1440,4.8,4.7,Q1,,,,,,,,
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,1364-8152,1873-6726,4.8,5.2,Q1,,,,,,,,
INTERNATIONAL MARKETING REVIEW,INT MARKET REV,0265-1335,1758-6763,4.8,5.2,Q1,,,,,,,,
Natural Products and Bioprospecting,NAT PRODUCT BIOPROSP,2192-2195,2192-2209,4.8,3.9,Q1,,,,,,,,
Current Neuropharmacology,CURR NEUROPHARMACOL,1570-159X,1875-6190,4.8,7.1,Q1,,,,,,,,
Current Neurology and Neuroscience Reports,CURR NEUROL NEUROSCI,1528-4042,1534-6293,4.8,6,Q1,,,,,,,,
Liquid Crystals Reviews,LIQ CRYST REV,2168-0396,2168-0418,4.8,6.1,Q2,,,,,,,,
POLYMER COMPOSITES,POLYM COMPOSITE,0272-8397,1548-0569,4.8,3.9,Q1,,,,,,,,
Microporous and Mesoporous Materials,MICROPOR MESOPOR MAT,1387-1811,1873-3093,4.8,4.7,Q2,,,,,,,,
Biomolecules,BIOMOLECULES,N/A,2218-273X,4.8,5.4,Q1,,,,,,,,
INFLAMMATION RESEARCH,INFLAMM RES,1023-3830,1420-908X,4.8,5.2,Q2,,,,,,,,
Progress in Natural Science-Materials International,PROG NAT SCI-MATER,1002-0071,1745-5391,4.8,5.3,Q2,,,,,,,,
Business Strategy and Development,BUS STRATEGY DEV,N/A,2572-3170,4.8,N/A,Q1,,,,,,,,
INTERNATIONAL IMMUNOLOGY,INT IMMUNOL,0953-8178,1460-2377,4.8,5,Q2,,,,,,,,
Emergent Materials,EMERGENT MATER,2522-5731,2522-574X,4.8,4.3,Q2,,,,,,,,
Journal of Semiconductors,J SEMICOND,1674-4926,1674-4926,4.8,3.3,Q2,,,,,,,,
ACS Nanoscience Au,ACS NANOSCI AU,N/A,2694-2496,4.8,4.8,Q2,,,,,,,,
CHINA JOURNAL,CHINA J,1324-9347,1835-8535,4.7,4.3,Q1,,,,,,,,
LEARNING AND INSTRUCTION,LEARN INSTR,0959-4752,1873-3263,4.7,6.1,Q1,,,,,,,,
POLITICAL ANALYSIS,POLIT ANAL,1047-1987,1476-4989,4.7,7.8,Q1,,,,,,,,
MODERN LANGUAGE JOURNAL,MOD LANG J,0026-7902,1540-4781,4.7,6.8,Q1,,,,,,,,
COMMUNICATION THEORY,COMMUN THEOR,1050-3293,1468-2885,4.7,4.4,Q1,,,,,,,,
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,BJOG-INT J OBSTET GY,1470-0328,1471-0528,4.7,5.9,Q1,,,,,,,,
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,0307-6970,1365-3113,4.7,4.3,Q1,,,,,,,,
AMERICAN JOURNAL OF PATHOLOGY,AM J PATHOL,0002-9440,1525-2191,4.7,4.8,Q1,,,,,,,,
Best Practice & Research-Clinical Anaesthesiology,BEST PRAC RES-CL ANA,1521-6896,1878-1608,4.7,4.6,Q1,,,,,,,,
DEPRESSION AND ANXIETY,DEPRESS ANXIETY,1091-4269,1520-6394,4.7,7.2,Q1,,,,,,,,
Paediatric Respiratory Reviews,PAEDIATR RESPIR REV,1526-0542,1526-0550,4.7,4,Q1,,,,,,,,
POLITICAL GEOGRAPHY,POLIT GEOGR,0962-6298,1873-5096,4.7,4.2,Q1,,,,,,,,
Studies in Science Education,STUD SCI EDUC,0305-7267,1940-8412,4.7,7.8,Q1,,,,,,,,
EUROPEAN RADIOLOGY,EUR RADIOL,0938-7994,1432-1084,4.7,5.2,Q1,,,,,,,,
AMERICAN JOURNAL OF ROENTGENOLOGY,AM J ROENTGENOL,0361-803X,1546-3141,4.7,4.1,Q1,,,,,,,,
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,1941-0506,4.7,5.1,Q1,,,,,,,,
NEUROIMAGE,NEUROIMAGE,1053-8119,1095-9572,4.7,6.1,Q1,,,,,,,,
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,1527-974X,4.7,5.8,Q1,,,,,,,,
Bone & Joint Research,BONE JOINT RES,2046-3758,2046-3758,4.7,4.3,Q1,,,,,,,,
Journal of Insects as Food and Feed,J INSECTS FOOD FEED,N/A,2352-4588,4.7,4.9,Q1,,,,,,,,
LIVER TRANSPLANTATION,LIVER TRANSPLANT,1527-6465,1527-6473,4.7,5.1,Q1,,,,,,,,
Journal of Infection and Public Health,J INFECT PUBLIC HEAL,1876-0341,1876-035X,4.7,4.4,Q1,,,,,,,,
JOURNAL OF PHYSIOLOGY-LONDON,J PHYSIOL-LONDON,0022-3751,1469-7793,4.7,5.4,Q1,,,,,,,,
GEOTEXTILES AND GEOMEMBRANES,GEOTEXT GEOMEMBRANES,0266-1144,1879-3584,4.7,4.6,Q1,,,,,,,,
Therapeutic Advances in Neurological Disorders,THER ADV NEUROL DISO,1756-2856,1756-2864,4.7,4.9,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF EATING DISORDERS,INT J EAT DISORDER,0276-3478,1098-108X,4.7,5.3,Q1,,,,,,,,
RHEUMATOLOGY,RHEUMATOLOGY,1462-0324,1462-0332,4.7,5.3,Q1,,,,,,,,
npj Genomic Medicine,NPJ GENOM MED,N/A,2056-7944,4.7,5.3,Q1,,,,,,,,
PERSONNEL PSYCHOLOGY,PERS PSYCHOL,0031-5826,1744-6570,4.7,7.5,Q1,,,,,,,,
RESPIRATORY RESEARCH,RESP RES,N/A,1465-993X,4.7,5.3,Q1,,,,,,,,
IEEE Transactions on Network and Service Management,IEEE T NETW SERV MAN,1932-4537,1932-4537,4.7,4.6,Q1,,,,,,,,
Plant Methods,PLANT METHODS,N/A,1746-4811,4.7,5.6,Q1,,,,,,,,
Journal of Hydrology-Regional Studies,J HYDROL-REG STUD,N/A,2214-5818,4.7,5,Q1,,,,,,,,
Adolescent Research Review,ADOLESC RES REV,2363-8346,2363-8354,4.7,5.7,Q1,,,,,,,,
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,CLIN PSYCHOL-SCI PR,0969-5893,1468-2850,4.7,6.7,Q1,,,,,,,,
EPIDEMIOLOGY,EPIDEMIOLOGY,1044-3983,1531-5487,4.7,4.9,Q1,,,,,,,,
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,SCAND J WORK ENV HEA,0355-3140,1795-990X,4.7,4.7,Q1,,,,,,,,
ENGINEERING FRACTURE MECHANICS,ENG FRACT MECH,0013-7944,1873-7315,4.7,4.8,Q1,,,,,,,,
Health Information Science and Systems,HEALTH INF SCI SYST,2047-2501,2047-2501,4.7,5.4,Q1,,,,,,,,
Behavioral and Brain Functions,BEHAV BRAIN FUNCT,N/A,1744-9081,4.7,4.1,Q1,,,,,,,,
CHEMICO-BIOLOGICAL INTERACTIONS,CHEM-BIOL INTERACT,0009-2797,1872-7786,4.7,4.6,Q1,,,,,,,,
Tumour Virus Research,TUMOUR VIRUS RES,2666-6790,2666-6790,4.7,4.7,Q1,,,,,,,,
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,0887-3801,1943-5487,4.7,5.5,Q1,,,,,,,,
ARCHIVES OF MEDICAL RESEARCH,ARCH MED RES,0188-4409,1873-5487,4.7,4.3,Q1,,,,,,,,
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,IEEE J-STARS,1939-1404,2151-1535,4.7,5,Q1,,,,,,,,
Mobile DNA,MOBILE DNA-UK,1759-8753,1759-8753,4.7,4.3,Q1,,,,,,,,
Drug Design Development and Therapy,DRUG DES DEV THER,1177-8881,N/A,4.7,4.8,Q1,,,,,,,,
BIOINORGANIC CHEMISTRY AND APPLICATIONS,BIOINORG CHEM APPL,1565-3633,1687-479X,4.7,6,Q1,,,,,,,,
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,MON NOT R ASTRON SOC,0035-8711,1365-2966,4.7,4.7,Q1,,,,,,,,
ACS Polymers Au,ACS POLYM AU,N/A,2694-2453,4.7,4.7,Q1,,,,,,,,
Foods,FOODS,N/A,2304-8158,4.7,5.1,Q1,,,,,,,,
SAFETY SCIENCE,SAFETY SCI,0925-7535,1879-1042,4.7,5.3,Q1,,,,,,,,
TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,T NONFERR METAL SOC,1003-6326,2210-3384,4.7,4.2,Q1,,,,,,,,
Infectious Diseases and Therapy,INFECT DIS THER,2193-8229,2193-6382,4.7,4.6,Q1,,,,,,,,
JOURNAL OF MOLECULAR BIOLOGY,J MOL BIOL,0022-2836,1089-8638,4.7,4.9,Q1,,,,,,,,
Polymers,POLYMERS-BASEL,N/A,2073-4360,4.7,4.9,Q1,,,,,,,,
Frontiers of Mechanical Engineering,FRONT MECH ENG-PRC,2095-0233,2095-0241,4.7,5,Q1,,,,,,,,
Journal of Obesity & Metabolic Syndrome,J OBES METAB SYNDR,2508-6235,2508-7576,4.7,5.1,Q1,,,,,,,,
Environmental Development,ENVIRON DEV,2211-4645,2211-4653,4.7,5.2,Q2,,,,,,,,
Elementa-Science of the Anthropocene,ELEMENTA-SCI ANTHROP,2325-1026,2325-1026,4.7,5.2,Q1,,,,,,,,
APPLIED CATALYSIS A-GENERAL,APPL CATAL A-GEN,0926-860X,1873-3875,4.7,4.8,Q2,,,,,,,,
JCO Oncology Practice,JCO ONCOL PRACT,2688-1527,2688-1535,4.7,4.4,Q1,,,,,,,,
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,ENVIRON DEV SUSTAIN,1387-585X,1573-2975,4.7,4.7,Q2,,,,,,,,
Journal of Innate Immunity,J INNATE IMMUN,1662-811X,1662-8128,4.7,5.7,Q2,,,,,,,,
Annual Review of Cancer Biology,ANNU REV CANCER BIOL,2472-3428,2472-3428,4.7,7.4,Q1,,,,,,,,
NanoImpact,NANOIMPACT,2452-0748,2452-0748,4.7,4.4,Q2,,,,,,,,
Acta Ecologica Sinica,ACTA ECOL SINICA,1872-2032,1872-2032,4.7,N/A,Q1,,,,,,,,
Current Opinion in Biomedical Engineering,CURR OPIN BIOMED ENG,2468-4511,2468-4511,4.7,4.2,Q2,,,,,,,,
Journal of Translational Autoimmunity,J TRANSL AUTOIMMUN,2589-9090,2589-9090,4.7,4.2,Q2,,,,,,,,
Colloid and Interface Science Communications,COLLOID INTERFAC SCI,2215-0382,2215-0382,4.7,4.6,Q2,,,,,,,,
Chinese Herbal Medicines,CHIN HERB MED,1674-6384,1674-6384,4.7,3.2,Q1,,,,,,,,
ELECTROCHEMISTRY COMMUNICATIONS,ELECTROCHEM COMMUN,1388-2481,1873-1902,4.7,4.3,Q2,,,,,,,,
JOURNAL OF POLYMERS AND THE ENVIRONMENT,J POLYM ENVIRON,1566-2543,1572-8919,4.7,4.6,Q1,,,,,,,,
Energy Reports,ENERGY REP,2352-4847,2352-4847,4.7,5,Q2,,,,,,,,
International Journal of Artificial Intelligence in Education,INT J ARTIF INTELL E,1560-4292,1560-4306,4.7,4.7,Q1,,,,,,,,
Journal of Sustainable Cement-Based Materials,J SUSTAIN CEM-BASED,2165-0373,2165-0381,4.7,5.2,Q2,,,,,,,,
Journal of Zhejiang University-SCIENCE B,J ZHEJIANG UNIV-SC B,1673-1581,1862-1783,4.7,4.1,Q1,,,,,,,,
Current Oncology Reports,CURR ONCOL REP,1523-3790,1534-6269,4.7,5,Q1,,,,,,,,
Journal of Translational Internal Medicine,J TRANSL INTERN MED,2450-131X,2224-4018,4.7,3.8,Q1,,,,,,,,
Nanomedicine,NANOMEDICINE-UK,1743-5889,1748-6963,4.7,5.1,Q2,,,,,,,,
Polysaccharides,POLYSACCHARIDES-BASE,N/A,2673-4176,4.7,4.6,Q1,,,,,,,,
Micro and Nano Systems Letters,MICRO NANO SYST LETT,N/A,2213-9621,4.7,N/A,Q2,,,,,,,,
Qualitative Research in Psychology,QUAL RES PSYCHOL,1478-0887,1478-0895,4.6,9.9,Q1,,,,,,,,
ReCALL,RECALL,0958-3440,1474-0109,4.6,4.9,Q1,,,,,,,,
Journal of Chinese Political Science,J CHIN POLIT SCI,1080-6954,1874-6357,4.6,3.7,Q1,,,,,,,,
Applied and Computational Mathematics,APPL COMPUT MATH-BAK,1683-3511,1683-6154,4.6,3,Q1,,,,,,,,
BRITISH JOURNAL OF POLITICAL SCIENCE,BRIT J POLIT SCI,0007-1234,1469-2112,4.6,5,Q1,,,,,,,,
CRIMINOLOGY,CRIMINOLOGY,0011-1384,1745-9125,4.6,6.3,Q1,,,,,,,,
SCIENCE COMMUNICATION,SCI COMMUN,1075-5470,1552-8545,4.6,6.9,Q1,,,,,,,,
EDUCATIONAL TECHNOLOGY & SOCIETY,EDUC TECHNOL SOC,1176-3647,1436-4522,4.6,4.7,Q1,,,,,,,,
POLITICAL COMMUNICATION,POLIT COMMUN,1058-4609,1091-7675,4.6,8.8,Q1,,,,,,,,
ETHICS,ETHICS,0014-1704,1539-297X,4.6,4.6,N/A,,,,,,,,
ANESTHESIA AND ANALGESIA,ANESTH ANALG,0003-2999,0003-2999,4.6,5.6,Q1,,,,,,,,
POPULATION AND DEVELOPMENT REVIEW,POPUL DEV REV,0098-7921,1728-4457,4.6,11.2,Q1,,,,,,,,
JOURNAL OF EUROPEAN PUBLIC POLICY,J EUR PUBLIC POLICY,1350-1763,1466-4429,4.6,5.5,Q1,,,,,,,,
CBE-Life Sciences Education,CBE-LIFE SCI EDUC,1931-7913,1931-7913,4.6,4.8,Q1,,,,,,,,
EVOLUTIONARY ANTHROPOLOGY,EVOL ANTHROPOL,1060-1538,1520-6505,4.6,4.9,Q1,,,,,,,,
DENTAL MATERIALS,DENT MATER,0109-5641,1879-0097,4.6,5.5,Q2,,,,,,,,
JOURNAL OF RESEARCH ON ADOLESCENCE,J RES ADOLESCENCE,1050-8392,1532-7795,4.6,3.9,Q1,,,,,,,,
Behavior Research Methods,BEHAV RES METHODS,1554-351X,1554-3528,4.6,7.2,Q1,,,,,,,,
GERONTOLOGIST,GERONTOLOGIST,0016-9013,1758-5341,4.6,5,Q1,,,,,,,,
DIABETES-METABOLISM RESEARCH AND REVIEWS,DIABETES-METAB RES,1520-7552,1520-7560,4.6,6.4,Q1,,,,,,,,
SciPost Physics,SCIPOST PHYS,2542-4653,2542-4653,4.6,4.8,Q1,,,,,,,,
IEEE Transactions on Radiation and Plasma Medical Sciences,IEEE T RADIAT PLASMA,2469-7311,2469-7303,4.6,3.6,Q1,,,,,,,,
Journal of Integrative Agriculture,J INTEGR AGR,2095-3119,2352-3425,4.6,4.5,Q1,,,,,,,,
APPETITE,APPETITE,0195-6663,1095-8304,4.6,4.5,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF MANPOWER,INT J MANPOWER,0143-7720,1758-6577,4.6,4.4,Q1,,,,,,,,
Developmental Cognitive Neuroscience,DEV COGN NEUROS-NETH,1878-9293,1878-9307,4.6,6.2,Q1,,,,,,,,
IEEE Journal of Emerging and Selected Topics in Power Electronics,IEEE J EM SEL TOP P,2168-6777,2168-6785,4.6,5.3,Q1,,,,,,,,
IEEE Wireless Communications Letters,IEEE WIREL COMMUN LE,2162-2337,2162-2345,4.6,4.9,Q1,,,,,,,,
CHINESE JOURNAL OF PHYSICS,CHINESE J PHYS,0577-9073,0577-9073,4.6,3.5,Q1,,,,,,,,
Plant Diversity,PLANT DIVERSITY,2096-2703,2468-2659,4.6,4.2,Q1,,,,,,,,
INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,1041-6102,1741-203X,4.6,4.7,Q1,,,,,,,,
DIABETES & METABOLISM,DIABETES METAB,1262-3636,1878-1780,4.6,5.1,Q1,,,,,,,,
Ocean Engineering,OCEAN ENG,0029-8018,1873-5258,4.6,4.8,Q1,,,,,,,,
GEOPHYSICAL RESEARCH LETTERS,GEOPHYS RES LETT,0094-8276,1944-8007,4.6,5.2,Q1,,,,,,,,
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,IEEE T ANTENN PROPAG,0018-926X,1558-2221,4.6,5,Q1,,,,,,,,
MOLECULAR NEUROBIOLOGY,MOL NEUROBIOL,0893-7648,1559-1182,4.6,4.7,Q1,,,,,,,,
SEMINARS IN NUCLEAR MEDICINE,SEMIN NUCL MED,0001-2998,1558-4623,4.6,4.4,Q1,,,,,,,,
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,1366-9516,1472-4642,4.6,5.2,Q1,,,,,,,,
Organic Chemistry Frontiers,ORG CHEM FRONT,2052-4129,2052-4129,4.6,4.3,Q1,,,,,,,,
Research in Transportation Economics,RES TRANSP ECON,0739-8859,1875-7979,4.6,3.7,Q1,,,,,,,,
Environment and Planning A-Economy and Space,ENVIRON PLANN A,0308-518X,1472-3409,4.6,4.6,Q1,,,,,,,,
FUNCTIONAL ECOLOGY,FUNCT ECOL,0269-8463,1365-2435,4.6,5.7,Q1,,,,,,,,
IEEE Robotics and Automation Letters,IEEE ROBOT AUTOM LET,2377-3766,2377-3766,4.6,5.5,Q2,,,,,,,,
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,IEEE T ENG MANAGE,0018-9391,1558-0040,4.6,4.9,Q1,,,,,,,,
IEEE JOURNAL OF SOLID-STATE CIRCUITS,IEEE J SOLID-ST CIRC,0018-9200,1558-173X,4.6,5.6,Q1,,,,,,,,
OPTICS AND LASER TECHNOLOGY,OPT LASER TECHNOL,0030-3992,1879-2545,4.6,4.4,Q2,,,,,,,,
WATER RESOURCES RESEARCH,WATER RESOUR RES,0043-1397,1944-7973,4.6,5.9,Q1,,,,,,,,
Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,1758-4205,4.6,5.7,Q1,,,,,,,,
SEMINARS IN ARTHRITIS AND RHEUMATISM,SEMIN ARTHRITIS RHEU,0049-0172,1532-866X,4.6,4.9,Q1,,,,,,,,
IEEE TRANSACTIONS ON SIGNAL PROCESSING,IEEE T SIGNAL PROCES,1053-587X,1941-0476,4.6,5.2,Q1,,,,,,,,
NEUROPHARMACOLOGY,NEUROPHARMACOLOGY,0028-3908,1873-7064,4.6,4.5,Q1,,,,,,,,
Journal of Ecohydraulics,J ECOHYDRAULICS,2470-5357,2470-5365,4.6,N/A,Q1,,,,,,,,
JOURNAL OF URBAN TECHNOLOGY,J URBAN TECHNOL,1063-0732,1466-1853,4.6,5.6,Q1,,,,,,,,
PHYSICAL REVIEW D,PHYS REV D,2470-0010,2470-0029,4.6,4.3,Q1,,,,,,,,
EXPERIMENTAL NEUROLOGY,EXP NEUROL,0014-4886,1090-2430,4.6,4.8,Q1,,,,,,,,
Molecular Therapy Methods & Clinical Development,MOL THER METH CLIN D,N/A,2329-0501,4.6,5.2,Q2,,,,,,,,
Nutrition & Diabetes,NUTR DIABETES,2044-4052,2044-4052,4.6,5,Q1,,,,,,,,
MANAGEMENT SCIENCE,MANAGE SCI,0025-1909,1526-5501,4.6,6.1,Q1,,,,,,,,
Algal Research-Biomass Biofuels and Bioproducts,ALGAL RES,2211-9264,2211-9264,4.6,4.8,Q1,,,,,,,,
CLINICAL PHARMACOKINETICS,CLIN PHARMACOKINET,0312-5963,1179-1926,4.6,5.2,Q1,,,,,,,,
LUNG,LUNG,0341-2040,1432-1750,4.6,3.9,Q1,,,,,,,,
Structural Control & Health Monitoring,STRUCT CONTROL HLTH,1545-2255,1545-2263,4.6,5.5,Q1,,,,,,,,
INFLAMMOPHARMACOLOGY,INFLAMMOPHARMACOLOGY,0925-4692,1568-5608,4.6,4.5,Q1,,,,,,,,
Mineral Processing and Extractive Metallurgy Review,MIN PROC EXT MET REV,0882-7508,1547-7401,4.6,5,Q1,,,,,,,,
Management of Environmental Quality,MANAG ENVIRON QUAL,1477-7835,1758-6119,4.6,4.9,Q1,,,,,,,,
